filename,fault_type,seed,n_steps,fault_params
sensor_dropout/sensor_dropout_0000.csv,sensor_dropout,342,197,"[{""onset"": 96, ""channel"": ""angle""}]"
sensor_dropout/sensor_dropout_0001.csv,sensor_dropout,343,323,"[{""onset"": 115, ""channel"": ""x_pos""}]"
sensor_dropout/sensor_dropout_0002.csv,sensor_dropout,344,168,"[{""onset"": 106, ""channel"": ""y_pos""}]"
sensor_dropout/sensor_dropout_0003.csv,sensor_dropout,345,243,"[{""onset"": 101, ""channel"": ""y_pos""}]"
sensor_dropout/sensor_dropout_0004.csv,sensor_dropout,346,536,"[{""onset"": 60, ""channel"": ""y_vel""}]"
sensor_dropout/sensor_dropout_0005.csv,sensor_dropout,347,164,"[{""onset"": 65, ""channel"": ""angle""}]"
sensor_dropout/sensor_dropout_0006.csv,sensor_dropout,348,108,"[{""onset"": 58, ""channel"": ""y_pos""}]"
sensor_dropout/sensor_dropout_0007.csv,sensor_dropout,349,558,"[{""onset"": 72, ""channel"": ""angle""}]"
sensor_dropout/sensor_dropout_0008.csv,sensor_dropout,350,93,"[{""onset"": 126, ""channel"": ""x_vel""}]"
sensor_dropout/sensor_dropout_0009.csv,sensor_dropout,351,158,"[{""onset"": 101, ""channel"": ""y_vel""}]"
sensor_dropout/sensor_dropout_0010.csv,sensor_dropout,352,112,"[{""onset"": 64, ""channel"": ""y_pos""}]"
sensor_dropout/sensor_dropout_0011.csv,sensor_dropout,353,1000,"[{""onset"": 115, ""channel"": ""x_pos""}]"
sensor_dropout/sensor_dropout_0012.csv,sensor_dropout,354,165,"[{""onset"": 98, ""channel"": ""angle""}]"
sensor_dropout/sensor_dropout_0013.csv,sensor_dropout,355,210,"[{""onset"": 57, ""channel"": ""x_vel""}]"
sensor_dropout/sensor_dropout_0014.csv,sensor_dropout,356,164,"[{""onset"": 64, ""channel"": ""x_pos""}]"
sensor_dropout/sensor_dropout_0015.csv,sensor_dropout,357,425,"[{""onset"": 65, ""channel"": ""y_vel""}]"
sensor_dropout/sensor_dropout_0016.csv,sensor_dropout,358,274,"[{""onset"": 97, ""channel"": ""angle""}]"
sensor_dropout/sensor_dropout_0017.csv,sensor_dropout,359,281,"[{""onset"": 81, ""channel"": ""x_vel""}]"
sensor_dropout/sensor_dropout_0018.csv,sensor_dropout,360,119,"[{""onset"": 129, ""channel"": ""angular_vel""}]"
sensor_dropout/sensor_dropout_0019.csv,sensor_dropout,361,98,"[{""onset"": 75, ""channel"": ""angle""}]"
sensor_dropout/sensor_dropout_0020.csv,sensor_dropout,362,182,"[{""onset"": 51, ""channel"": ""angle""}]"
sensor_dropout/sensor_dropout_0021.csv,sensor_dropout,363,94,"[{""onset"": 132, ""channel"": ""x_pos""}]"
sensor_dropout/sensor_dropout_0022.csv,sensor_dropout,364,99,"[{""onset"": 42, ""channel"": ""y_vel""}]"
sensor_dropout/sensor_dropout_0023.csv,sensor_dropout,365,393,"[{""onset"": 112, ""channel"": ""x_pos""}]"
sensor_dropout/sensor_dropout_0024.csv,sensor_dropout,366,399,"[{""onset"": 51, ""channel"": ""x_pos""}]"
sensor_dropout/sensor_dropout_0025.csv,sensor_dropout,367,332,"[{""onset"": 74, ""channel"": ""angle""}]"
sensor_dropout/sensor_dropout_0026.csv,sensor_dropout,368,91,"[{""onset"": 69, ""channel"": ""angular_vel""}]"
sensor_dropout/sensor_dropout_0027.csv,sensor_dropout,369,69,"[{""onset"": 116, ""channel"": ""angle""}]"
sensor_dropout/sensor_dropout_0028.csv,sensor_dropout,370,82,"[{""onset"": 120, ""channel"": ""x_vel""}]"
sensor_dropout/sensor_dropout_0029.csv,sensor_dropout,371,175,"[{""onset"": 69, ""channel"": ""angular_vel""}]"
sensor_dropout/sensor_dropout_0030.csv,sensor_dropout,372,226,"[{""onset"": 107, ""channel"": ""y_vel""}]"
sensor_dropout/sensor_dropout_0031.csv,sensor_dropout,373,77,"[{""onset"": 131, ""channel"": ""y_vel""}]"
sensor_dropout/sensor_dropout_0032.csv,sensor_dropout,374,87,"[{""onset"": 49, ""channel"": ""angle""}]"
sensor_dropout/sensor_dropout_0033.csv,sensor_dropout,375,195,"[{""onset"": 130, ""channel"": ""y_pos""}]"
sensor_dropout/sensor_dropout_0034.csv,sensor_dropout,376,176,"[{""onset"": 84, ""channel"": ""x_vel""}]"
sensor_dropout/sensor_dropout_0035.csv,sensor_dropout,377,711,"[{""onset"": 68, ""channel"": ""angle""}]"
sensor_dropout/sensor_dropout_0036.csv,sensor_dropout,378,203,"[{""onset"": 93, ""channel"": ""y_vel""}]"
sensor_dropout/sensor_dropout_0037.csv,sensor_dropout,379,94,"[{""onset"": 98, ""channel"": ""angle""}]"
sensor_dropout/sensor_dropout_0038.csv,sensor_dropout,380,93,"[{""onset"": 58, ""channel"": ""y_vel""}]"
sensor_dropout/sensor_dropout_0039.csv,sensor_dropout,381,240,"[{""onset"": 117, ""channel"": ""angle""}]"
